id,AT2G22420,AT2G28110,AT2G37090,AT3G18660,AT4G18780,AT5G15630,AT5G17420,AT5G44030
AT1G01380,-0.621231680812,-0.156444557264,-0.037727222357,0.226346863535,-0.0563797566733,-0.157562183791,-0.0549729854327,-0.0593662991662
AT1G03970,-0.370841958192,0.97774791466,-0.844498232391,-0.891678960589,-0.887153294458,-0.834076353509,-0.88922784694,-0.882270532931
AT1G06180,0.900638381502,-0.219762599713,0.303519744354,0.166973090867,0.376601643402,0.484234353839,0.386280712681,0.389897298146
AT1G07640,-0.694659924619,0.662476140575,-0.735605186213,-0.536027041014,-0.774192240623,-0.799392608958,-0.760491105251,-0.778312571396
AT1G09530,-0.634941640668,0.782970029229,-0.698552806726,-0.816740569223,-0.772638609277,-0.807491233067,-0.805857457125,-0.772727790765
AT1G10480,0.791363513781,-0.621185218567,0.679596636733,0.640645242417,0.74621910635,0.831162132628,0.771468886946,0.751421227099
AT1G12890,0.754771501121,-0.638813234596,0.682411030446,0.48281644078,0.724589567276,0.742722416005,0.712317092675,0.724066197534
AT1G15050,-0.0288848580277,0.952204301138,-0.95126621411,-0.934335544194,-0.94482554161,-0.882375729522,-0.932812305643,-0.941358717552
AT1G17310,-0.974254893611,0.109979140751,-0.100857098882,-0.0924104729969,-0.199126042333,-0.321109130615,-0.23223479505,-0.208804788004
AT1G18570,-0.185630899026,0.937091906122,-0.910186067227,-0.989016573432,-0.925571728676,-0.900865715716,-0.943331148313,-0.91660385095
AT1G19180,-0.0987404576388,0.697952881023,-0.603186450927,-0.841281930705,-0.639448387394,-0.633095299322,-0.669997768854,-0.64013313614
AT1G21910,-0.88455959219,0.0016045823353,-0.042529918673,-0.094654192313,-0.136649523704,-0.292859987394,-0.184791356904,-0.148916437942
AT1G25560,-0.814227655204,0.114497673978,-0.143998066861,-0.264240317739,-0.238233102293,-0.389903996605,-0.292477098056,-0.251121572438
AT1G27650,-0.36412328216,0.946350075905,-0.934611469536,-0.809874783177,-0.950209203244,-0.896743475282,-0.927707661551,-0.94759487495
AT1G27740,-0.398954088737,0.522368990364,-0.753503508114,-0.583028658279,-0.737043067427,-0.799683249735,-0.756985162411,-0.720519349992
AT1G28370,-0.862961967746,-0.194960138417,0.259991570199,0.185794705185,0.152834320001,0.0218798082958,0.112933318967,0.138475440257
AT1G28520,-0.902956849086,0.488553951311,-0.531611227972,-0.464419415772,-0.604699232811,-0.695930661523,-0.630643231279,-0.606626349174
AT1G29160,-0.61661440502,0.456591785496,-0.638007592535,-0.365887378481,-0.654753703145,-0.699964813368,-0.630670385236,-0.663107194937
AT1G30650,-0.43944046795,0.931959951548,-0.942867223342,-0.831592186709,-0.964771842319,-0.935814898669,-0.952108778064,-0.962048005944
AT1G34670,0.16784120121,-0.925098178465,0.961018057782,0.984785651415,0.966142423273,0.947609448709,0.974017224206,0.961290986109
AT1G36060,-0.615054267657,0.888286868326,-0.873571645476,-0.80803403884,-0.920946060969,-0.922822307835,-0.922279999557,-0.92045633167
AT1G42990,-0.211859441095,0.893905998874,-0.772431347559,-0.757299700219,-0.778019453137,-0.699212479083,-0.787546035281,-0.750474357091
AT1G43160,-0.737674458943,0.813662368943,-0.744364821592,-0.759731269464,-0.820454342068,-0.845340951505,-0.833851557951,-0.825241875529
AT1G43700,-0.36149043214,0.990220021012,-0.893129496868,-0.874100089245,-0.927459484452,-0.867141318253,-0.915121859663,-0.926105073426
AT1G44830,-0.359167542924,-0.613229711785,0.629276141038,0.430902256328,0.56112837255,0.421500393311,0.509238475792,0.546865280318
AT1G47760,0.335785227445,0.738907855849,-0.573648250632,-0.615917603794,-0.540617144697,-0.388724454773,-0.522818516044,-0.518873453269
AT1G49130,0.102933775723,-0.584271990438,0.840770646388,0.637961539118,0.808553302344,0.829548021323,0.786557027051,0.815340840575
AT1G49475,0.750945491882,-0.699518045752,0.707926398463,0.524748641374,0.757999641247,0.763631639115,0.73998116757,0.761925904804
AT1G50420,-0.956219198766,0.321108758313,-0.345370483995,-0.273071942265,-0.432895713616,-0.535523544779,-0.45236246754,-0.443746985634
AT1G52830,0.717561511068,0.0308498745378,0.135845404633,0.148649913617,0.203388216675,0.374079061064,0.240904200783,0.223380241571
AT1G52890,-0.602957080675,0.123951404739,-0.0531520090368,-0.305274664631,-0.141079831399,-0.257534586439,-0.209763575189,-0.14361156353
AT1G53230,-0.525398952506,-0.502986998644,0.319267831823,0.516703015096,0.29442466513,0.169064531729,0.290824734906,0.283447330475
AT1G56650,-0.466149581337,0.945364358018,-0.936299280898,-0.860186696693,-0.964749643838,-0.940601898936,-0.959805256106,-0.960493760681
AT1G57560,-0.231746385779,-0.78528881257,0.624821607748,0.592933824093,0.606098607561,0.450801555994,0.564506855334,0.599269343287
